id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
4738,P1500 ليخة فينيسيو  صفرة كبيرة ممتازة,8,7,8.75,,56,70
4739,P2000 ليخة فينيسيو  صفرة صغيرة ممتازة,10,6,7.5,,60,75
4741,BASILA 50 بروكة دهبية,12,130,162.5,,1560,1950
4742,P1500 ليخة فينيسيو  صفرة صغيرة ممتازة,10,6,7.5,,60,75
4743,P3000 ليخة فينيسيو  صفرة صغيرة ممتازة,9,6,7.5,,54,67.5
4744,gold abratif 6 بروكة سوداء,0,70,150,,0,0
4745,كيلو قنب احمر,0,22,27.5,,0,0
4746,لامون BOSH 700W,0,315.61,394.51,,0,0
4747,بلوك طروطوار,0,35,43.75,,0,0
4748,مونشو نحاس (مكانة),0,40,50,,0,0
4749,بلينطة زليج,0,100,125,,0,0
4750,شبكة الصباغة,0,12,15,,0,0
4751,cable arme 2X10,0,43,53.75,,0,0
4752,cable rigide 10 nexans rouge,105,16.5,20.63,,1732.5,2166.15
4753,cable rigide 10 nexans bleu,165,16.5,20.63,,2722.5,3403.95
4754,cable rigide 6 nexans vert/jaune,0,11,13.75,,0,0
4755,tube annele 25 bimax ines orange,0,2.7,3.38,,0,0
4756,acc perfil aluminio cuadrado 11 negro br plasdecor,0,67.5,84.38,,0,0
4757,acc perfil acero basic cuadrado 12 inox negro plasdecor,57,93.75,116.88,,5343.75,6662.16
4758,acc listelo aluminio R12*10MM plata brillo lar 12pb embeplast,46,65,81.25,,2990,3737.5
4759,acc listelo aluminio R12*10MM plata lija lar 12 pl embeplast,43,65,80,,2795,3440
4760,acc perfil aluminio L12MM plata brillo oal 12 pb embeplast,48,65,81.25,,3120,3900
4761,acc perfil alluminio L12MM plata mate oal 12pm embeplast,0,65,81.25,,0,0
4762,acc listelo alluminio R12*10MM negro mate lacado lar12nh embeplast,194,65,81.25,,12610,15762.5
4763,cable arme 4X10 cuivre tumag (metre),0,72,90,,0,0
4764,cable rigide 10 nexans noir (metre),0,16.5,20.63,,0,0
4765,embase a cheville ingelec noir(paquet),0,36,45,,0,0
4766,collier de serrage 3.6*300 ingelec 100 pcs blanc (paquet),0,20,25,,0,0
4767,disjoncteur 4p 63a nsb63 next chint (piece),0,130,162.5,,0,0
4768,SP88 لندوي معجون كولورادو,0,112.69,156.25,,0,0
4769,اليد العاملة,0,0,0,,0,0
4770,sika 543 marron مستيك,4,30,37.5,,120,150
4771,st7028-20 caniveau ravena 7x20 cm,25,145,181.25,,3625,4531.25
4772,st7028-50 caniveau ravena 7x50 cm,15,250,312.5,,3750,4687.5
4773,st7028-60 caniveau ravena 7x60 cm,46,300,375,,13800,17250
4774,st7028-80 caniveau ravena 7x80 cm,34,450,562.5,,15300,19125
4775,st7028-90 caniveau ravena 7x90 cm,3,600,750,,1800,2250
4776,MORTEMABRANA 25KG BLANC,18,250,312.5,25,4500,5625
4777,ديمندا نجمة BASILA,1,130,162.5,,130,162.5
4778,1 شكارة كرانيطو اسود,0,25,35,50,0,0
4779,DINGQI 9pcs بكية صيصابة,4,24,30,,96,120
4780,DINGQI 9pcs بكية صيصابة(petite),0,24,30,,0,0
4781,kyata L6*60,0,0.6,0.75,,0,0
4782,kyata L4*80,0,0.5,0.63,,0,0
4783,velar ديسك شنفراج ممتاز,63,28,100,0,1764,6300
4784,VELAR 9-38mm بروكة الهرم,10,60,150,,600,1500
4785,VELAR 50mm ديسك كرانيت صغير,38,39.5,49.38,,1501,1876.44
4786,VELAR حزام الامان,8,270,350,,2160,2800
4787,VELAR 10-28 mm*14بروكة روند,4,95,118.75,,380,475
4788,VELAR 10mm*14 بروكة روند مربعة,5,75,93.75,,375,468.75
4789,VELAR 20mm*14 بروكة روند مربعة,14,95,118.75,,1330,1662.5
4791,VELAR 10mm*14 بروكة روند مروندية,17,75,93.75,,1275,1593.75
4792,VELAR 20mm*14 بروكة روند مروندية,15,95,118.75,,1425,1781.25
4793,manga 1+فيبراصيون اصانص,5,1800,2250,,9000,11250
4794,welloomanga 1+فيبراصيون ضوء,1,1350,1687.5,,1350,1687.5
4795,casalino 4m سلم قصير,4,798,997.5,,3192,3990
4796,casalino 6m سلم طويل,0,1197,1496.25,,0,0
4797,sac de platre MPE 80 25 KG,598,28.8,35.33,25,17222.4,21127.34
4798,PALET VIDE,0,50,62.5,,0,0
4799,ريديكسيون 16*1/2 نحاس دكر,0,0,0,,0,0
4800,pinca,0,22.5,30,,0,0
4801,1PCS 2.5/370 بكيط سودور,0,0.39,0.49,,0,0
4802,1PCS 3.20/350 بكيط سودور,0,0.39,0.49,,0,0
4803,(200)3X20 مسمار خشب  PCS 1(4695),0,0.04,0.05,,0,0
4804,(200)3.5X30 مسمار خشب PCS 1(2666),0,0.05,0.06,,0,0
4805,(200)4X20 مسمار خشب  PCS 1(2669),0,0.05,0.06,,0,0
4806,(200)4X30 مسمار خشب PCS 1(4699),0,0.06,0.07,,0,0
4807,(200)4X50 مسمار خشب PCS 1(2672),0,0.09,0.11,,0,0
4808,(200)4X40 مسمار خشب PCS 1(2671),0,0.68,0.84,,0,0
4809,(200)4X60 مسمار خشب PCS 1(4696),0,0.11,0.13,,0,0
4810,(200)5X30 مسمار خشب PCS 1(4697),0,0.1,0.13,,0,0
4811,(200)5X40 مسمار خشب PCS 1(2677),0,0.12,0.15,,0,0
4812,(200)5X50 مسمار خشب PCS 1(4698),0,0.15,0.18,,0,0
4813,1KG ليكيدو,0,37,46.25,,0,0
4814,متر سطانيو,0,20,25,,0,0
4815,160x1/2 ريديكسيون نحاس,0,10,12.5,,0,0
4816,Delta euro-elast fibrado 15L,0,500.01,625.01,,0,0
4817,gold fix,0,35,55,,0,0
4818,200 طوبو عادي pvc,0,85,120,,0,0
4819,cuvlage mortemembrana gris 1kg,0,20,24,1,0,0
4820,BIMAX [50m] 16 رولو كرجوطة ممتازة,7,110,126.92,,770,888.44
4821,BIMAX ORANGE [50m] 11 رولو كرجوطة ممتازة,0,90,110.21,,0,0
4823,support disque 180,18,28,35,,504,630
4824,nivaux laser dewalt,17,750,937.5,,12750,15937.5
4825,nivaux laser kynko,1,720,900,,720,900
4826,24 بروس فيي مدور لامون,3,105,131.25,,315,393.75
4827,SNK POWER فيبراطور موطور برتقالي2 خيل,0,1350,1687.5,,0,0
4828,armano جيلي اصفر ممتاز,20,110,137.5,,2200,2750
4829,armano جيلي احمر ممتاز,0,110,137.5,,0,0
4830,الباقي من حساب,0,1200,0,,0,0
4831,اصلاح,-1,0,0,,0,0
4832,طوبو PEH 400+ 6 متر,0,350,437.5,,0,0
4833,groupe electrogique 13kv,1,10000,12500,,10000,12500
4834,متر الكرابة g3 12متر,0,140,175,,0,0
4836,بريدات 75,0,6.5,8,,0,0
4837,بريدات 50,0,5.5,7,,0,0
4838,ingco 350mm لقاط حديد,16,95.25,119.06,,1524,1904.96
4839,INGCO 600mm لقاط حديد,5,161.25,201.56,,806.25,1007.8
4840,INGCO 750MM لقاط حديد,4,224.25,280.31,,897,1121.24
4841,ingco 9pcs pipa,0,41.25,51.56,,0,0
4842,نقل تراب 12 متر,0,400,250,,0,0
4843,شكارة جيير 25 كيلو,0,40,50,25,0,0
4844,ACTIVE PRIME 5 KG KERAKOLL,18,442.81,450,5,7970.58,8100
4845,متر كوما الماء,0,14,17.5,,0,0
4846,متر كوما الريح,0,7,8.75,,0,0
4847,واردي 20,0,5.8,7.5,,0,0
4848,بوطرين 6.20,0,223.2,280,,0,0
4849,ليخة ممتازة 50 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4850,ليخة ممتازة 100 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4851,ليخة ممتازة 200 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4852,ليخة ممتازة 400 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4853,ليخة ممتازة 800 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4854,ليخة ممتازة 1500 ناشف (180mm),2,113.21,54.73,,226.42,109.46
4855,ليخة ممتازة 3000 ناشف (180mm),2,113.21,71.16,,226.42,142.32
4856,mpc ليخة 50 ممتازة غليطة,0,66.37,106.74,,0,0
4857,mpc ليخة 100 ممتازة غليطة,0,66.37,54.73,,0,0
4858,mpc ليخة 200 ممتازة غليطة,0,66.37,54.73,,0,0
4859,mpc ليخة 400 ممتازة غليطة,0,66.37,54.73,,0,0
4860,mpc ليخة 800 ممتازة غليطة,0,66.37,54.73,,0,0
4861,mpc ليخة 1500 ممتازة غليطة,0,66.37,54.73,,0,0
4862,mpc ليخة 3000 ممتازة غليطة,0,66.37,54.73,,0,0
4863,ليخة ممتازة 50 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4864,ليخة ممتازة 50 ناشف (125mm),0,43.78,54.73,,0,0
4865,ليخة ممتازة 100 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4866,ليخة ممتازة 200 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4867,ليخة ممتازة 400 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4868,ليخة ممتازة 800 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4869,ليخة ممتازة 1500 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4870,ليخة ممتازة 3000 ناشف (125mm),5,60.27,54.73,,301.35,273.65
4871,سبيراطور far tools 3000W,0,4300,5375,,0,0
4872,BELLOTA 1.5kg مطرقة,2,110,137.5,,220,275
4873,BELLOTA 1kg مطرقة,0,75,93.75,,0,0
4874,diager مكدي كراطاج,3,166.6,208.25,,499.79999999999995,624.75
4875,vetools ميزان الخيط,4,45,56.25,,180,225
4876,BELLOTA منشار ساموراي,6,187,233.75,,1122,1402.5
4877,RLT 35 بروكة دهبية,0,43,53.75,,0,0
4878,RLT 230mm ديسكو تقطيع حديد,10,8,10,,80,100
4879,تيب احمر,0,50,90,,0,0
4880,maseya atlas 1kg مصية بيضاء اطلس,0,32,40,,0,0
4881,amouaje bas 10kg  امواج,2,480,600,,960,1200
4882,HMAX 57.5m 2HP موطور بومبا,1,1900,2375,,1900,2375
4885,سبيراطور far tools 3600W 70L,3,4300,5375,,12900,16125
4886,نقل موطور,0,10,0,,0,0
4887,طسى عادية بلاستيك,0,25,31.25,,0,0
4888,سروال ممتاز L,22,110,137.5,,2420,3025
4889,سروال ممتاز XL,57,110,150,,6270,8550
4890,25KG لندوي فرشادة كولورادو,0,215,252.39,,0,0
4891,epoxy transparent 750ml,0,64.98,80,,0,0
4892,epoxy transparent 4L,2,300,380,,600,760
4893,epoxy transparent 14L,4,1000,1250,,4000,5000
4894,EURO CLIPS 100PCS بكية طاكون,587,26,32.5,,15262,19077.5
4895,ليخة 180 sait,0,9.2,0,,0,0
4896,BIMAX ORANGE[50m]16 رولو كرجوطة ممتازة,0,109.14,136.43,,0,0
4897,BIMAX ORANGE[50m] 20 متر كرجوطة ممتازة,50,3.45,215.88,,172.5,10794
4898,INES GRIS [50m] 11 رولو كرجوطة ممتازة,0,70,82.5,,0,0
4899,INES GRIS[50m] 16 رولو كرجوطة ممتازة,17,87.5,109.38,,1487.5,1859.46
4900,MORTECOL JUNTA ANCHA 1538,0,132,165,5,0,0
4901,N2 بوطة بلاستيك,34,10,12.5,,340,425
4902,BIMAX ORANGE [50m] 11 متر كرجوطة ممتازة (4821),0,1.8,2.25,,0,0
4903,BIMAX ORANGE[50m] (4896) 16 متر كرجوطة ممتازة,300,2.18,2.73,,654,819
4904,BIMAX ORANGE[50m] (4897) 20 متر كرجوطة ممتازة,0,3.45,4.32,,0,0
4905,INES GRIS [50m] (4898) 11 متر كرجوطة ممتازة,0,1.32,1.65,,0,0
4906,INES GRIS[50m] (4899) 16 متر كرجوطة ممتازة,50,1.75,2.19,,87.5,109.5
4907,ISOLBOX TYEP 25 (2.00),0,320,400,,0,0
4908,ISOLBOX TYEP 25 (1.20),0,192,240,,0,0
4909,ISOLBOX TYEP 25 (les joues),0,30,37.5,,0,0
4910,ميكانيزم,0,110,137.5,,0,0
4911,500L 7.5HP كومبريسور,0,21000,26250,,0,0
4912,FORKHA 1KG EUROTEX,0,75,93.75,,0,0
4913,222-6 سيفون لافابو كومبلي,45,52,65,,2340,2925
4914,222-3 سيفون لافابو كومبلي,19,36,45,,684,855
4915,222-4 gris سيفون لافابو كومبلي,26,36,45,,936,1170
4916,FRAIS,2,1.35,1.69,,2.7,3.38
4917,tapi rouge et vert plastic m2,10,160,200,,1600,2000
4919,arceau parking automatique,0,1000,1250,,0,0
4920,(180) 225 ليخة الحك,482,3.33,8,,1605.06,3856
4921,GABKA 750CC PISTOLE PRESSION,20,91.8,114.75,,1836,2295
4922,GABKA 680W SOUFLOUR,0,207.4,270,,0,0
4923,MORTECOL JUNTA ANCHA PS 53,6,132,165,,792,990
4924,4P فزبلي,0,400,500,,0,0
4925,(12M) متر حجر بلوقاج,0,130,160,,0,0
4926,isolbox tyep 30 (2.00),0,320,400,,0,0
4927,TEMU INOX  5Mx19mm متر ممتاز,0,150,300,,0,0
4928,ISOLBOX TYEP 30 (1.80),0,288,360,,0,0
4929,GABKA 21V فيبراسيون زليج,10,707.2,884,,7072,8840
4930,ARCOL FAYROUZ SILVER 20KG,1,1040,1300,20,1040,1300
4931,25KG شكارة كريفي كريمة,0,1,1.25,25,0,0
4932,GRIS 200 متر طوبو ممتاز,0,45,56.25,,0,0
4933,MACHINE MINI BAN-CO 125W,3,550,1000,,1650,3000
4934,LEADER FLEX 20KG ليدر فليكس احمر اطلس,0,360,450,20,0,0
4935,جوان 15 ازرق,0,0,0,,0,0
4936,ارقام,855,7.7,9.63,,6583.5,8233.650000000001
4937,COLLE PVC 500g,8,38.25,47.81,,306,382.48
4938,COLLE PVC 1000g,6,72.25,90.31,,433.5,541.86
4939,بكية جوان 15/8 ازرق,0,48,60,,0,0
4940,R3 plus 2024 5 kg,0,0,0,5,0,0
4941,متر كرياج ربيع اخضر,0,100,125,,0,0
4942,بوطو  بيطون زرب 2.5,0,75,140,,0,0
4943,رولو ليد ابيض (100M),0,550,687.5,,0,0
4944,رولو تلفازة CABLE TV,0,110,137.5,,0,0
4945,متر رولو تلفازة (4944) METRE CABLE TV,90,1.1,1.38,,99.00000000000001,124.19999999999999
4946,INGCO 210MM لقاط كابلي,4,89.25,115,,357,460
4947,INGCO 250MM لقاط سلك,5,42,55,,210,275
4948,INGCO لقاط طوبو,6,54.75,70,,328.5,420
4949,INGCO pinces serre-tube 300MM كماشة مضخة,5,51.75,70,,258.75,350
4950,INGCO 10 *ساروت,2,9,15,,18,30
4951,INGCO 11 * ساروت,11,9,15,,99,165
4952,INGCO 13 * ساروت,5,11.25,15,,56.25,75
4953,INGCO 14 * ساروت,3,11.25,15,,33.75,45
4954,INGCO 19 * ساروت,9,17.25,25,,155.25,225
4955,INGCO 48 * ساروت,6,180,225,,1080,1350
4956,INGCO 21 * ساروت,5,19.5,25,,97.5,125
4957,INGCO 32 * ساروت,6,55.5,70,,333,420
4958,INGCO pince coupante 160MM (HIHLDCP28160),5,56.25,75,,281.25,375
4959,صابون,0,50,80,,0,0
4960,INGCO 370W + 00.5HP  بومبا الماء,3,517.5,646.88,,1552.5,1940.6399999999999
4961,INGCO 1400 W بريسيون الماء,0,712.5,900,,0,0
4962,INGCO 2000W بريسيون الماء,0,1117.5,1400,,0,0
4963,INGCO 1500 W +2HP بومبا الماء,3,1500,1900,,4500,5700
4964,INGCO 750 W +1HP بومبا الماء,3,948.75,1200,,2846.25,3600
4965,INGCO 6PCS بكية طرنوفيس,12,74.25,95,,891,1140
4966,INGCO 55PCS طوكلي,6,96.75,125,,580.5,750
4967,INGCO 1KG مطرقة,6,67.5,85,1,405,510
4968,INGCO 12PCS طورنوفيس,24,29.25,40,,702,960
4969,INGCO 160MM لقاط كابلي,6,37.5,50,,225,300
4970,INGCO 1KG مشوطة,0,66.75,85,,0,0
4971,INGCO 180MM pince universal isolée,4,55.5,70,,222,280
4972,INGCO PIPA 13,6,29.25,40,,175.5,240
4973,INGCO PLAT 4*100 طرنوفيس,1,6.75,10,,6.75,10
4974,INGCO 200MM لقاط سلك,6,28.5,40,,171,240
4975,INGCO PINCES UNIVERSELLES 200MM لقاط سلك (HCP28208),3,41.25,55,,123.75,165
4976,INGCO PINCES COUPTANTES 160MM (HECP28160),6,37.5,50,,225,300
4977,INGCO 10X160MM بروكة بيطون,40,12.81,20,,512.4,800
4978,INGCO 10X260 MM بروكة بيطون,29,13.5,20,,391.5,580
4979,INGCO PINCES COMBINE 240MM (HHCP28240),5,71.25,90,,356.25,450
4980,INGCO 8 IN 1 JEU DE TOURNEVIS (AKISD0901),5,45,60,,225,300
4981,INGCO 24X300MM بروكة بيطون,30,44.25,60,,1327.5,1800
4982,INGCO 180MM PINCE COUMPTANTE DIAGONALE (HHHDCP28180),4,44.25,60,,177,240
4983,INGCO CHARGEUR DU BATTERIE P20S 20V (FCLI2001),2,112.5,145,,225,290
4984,INGCO JEU DE PINCES 3PCS (HKPS08318),4,87.75,110,,351,440
4985,INGCO 300g مطرقة,3,33.75,45,,101.25,135
4986,INGCO 500g مطرقة,6,45,60,,270,360
4987,INGCO PH 1X100mm طورنوفيس,4,7.5,10,,30,40
4988,INGCO 160mm pinces universelles (HCP08168),3,26.25,35,,78.75,105
4989,INGCO 160mm pinces coupantes diagonables (HDCP28168),4,33.75,45,,135,180
4990,منشار INGCO 300mm HHF3008,24,59.25,75,,1422,1800
4991,نقل ردمة,0,150,300,,0,0
4992,machine achili 220,1,16500,20625,,16500,20625
4993,بروكة دهبية 8,19,140,175,,2660,3325
4994,نقل زليج + حمال,0,0,0,,0,0
4995,stop astral 25kg,1,340,425,,340,425
4996,ISOLBOX 35 1 M,0,390,415,,0,0
4997,SYLVIA 20KG كولورادو سيلفيا,1,1050,1312.5,,1050,1312.5
4999,RUBI SLIM 3.8m مكينة,1,8000,10000,,8000,10000
5000,SLIM EASY TRANS RUBI PLUS برة فنطوزة,1,12000,15000,,12000,15000
5001,GRILLAGE 13*2M (25M) كرياج,0,598,747.5,,0,0
5002,ISOLBOX TYEP 30 (1.70),0,272,340,,0,0
5003,ISOLBOX TYEP 30 (1.30),0,208,260,,0,0
5004,ISOLBOX TYEP 30 (1.50),1,240,300,,240,300
5005,ISOLBOX TYEP 30 (1.20),0,192,240,,0,0
5006,ISOLBOX TYEP 30 (2.40),3,384,480,,1152,1440
5007,transport de platre,0,60000,75000,,0,0
5008,fibre de beton 1 kg,0,15.5,25,,0,0
5009,POTEAU GRILLAGE 9/8 2.4M,0,50,62.5,,0,0
5010,AGUAS SUCIAS 400W بومبا بلاستيك عادية خضراء,0,550,687.5,,0,0
5011,INGCO طرنوفيس اصفر (1PCS) (3639),23,5.43,6.79,,124.88999999999999,156.17
5012,INGCO طرنوفيس مارن و اصفر (1PCS) (3640),14,4.96,6.2,,69.44,86.8
5013,zinite astral 15 kg,0,620,670,,0,0
5014,LIVIO 30X30 كانون,0,47,58.75,,0,0
5015,LIVIO 50X50 كانون,0,120,150,,0,0
5016,LIVIO 30X60 كانون,0,110,137.5,,0,0
5017,LIVIO 35X55 كانون,0,115,143.75,,0,0
5018,LIVIO 40X60 كانون,0,125,156.25,,0,0
5019,LIVIO كانون اسود,0,50,62.5,,0,0
5020,رولو غربال 6,14,12,150,,168,2100
5021,متر رولو غربال 6 (5020),0,2.4,3,,0,0
5022,رولو غربال 8,0,12,150,,0,0
5023,متر رولو غربال 8 (5022),0,2.4,3,,0,0
5024,ربيع اخضر بلاكى,11,60,75,,660,825
5025,FIBRE EN ACIER HE 1/50 كيلو فيبرا بيطون,100,15.6,19.38,,1560,1938
5026,GRAISSE F-D MAX 15KG كراسة,0,440,550,,0,0
5027,ZILTASH 3m متر,17,8,8.75,,136,148.75
5028,5mm متر كوما الماء,0,21.5,26.88,,0,0
5029,متر  كابلي 10 احمر   (رولو100 متر ),0,15.5,19.38,,0,0
5030,متر  كابلي 10 ازرق (رولو100 متر ),0,15.1,19.38,,0,0
5031,OPTIMAX 50W مصباح روشكة,5,45,56.25,,225,281.25
5032,OPTIMAX 36W MOTA مصباح روشكة,17,11,13.75,,187,233.75
5033,ingelec شوفي 10,0,6.67,8.34,,0,0
5034,ingelec 12 شوفي (50PCS),500,0.18,11.09,,90,5545
5035,CABLE LA TERRE 10 متر كابلي,0,17,21.25,,0,0
5036,CABLE LA TERRE 10 رولو كابلي,0,1700,2125,,0,0
5037,لقاط مرمو كبير,3,800,1000,,2400,3000
5038,jeu de tournevis 2en1 ph1 + sl5,18,10.5,13.13,,189,236.34
5039,INGCO 22* ساروت,11,21,26.25,,231,288.75
5040,INGCO 24X300MM بروكة بيطون,0,16.37,20.46,,0,0
5041,CABLE LA TERRE 16 رولو كابلي,0,23,28.75,,0,0
5042,CABLE LA TERRE 16 متر كابلي,0,0.23,0.29,,0,0
5043,LIVIO 30X50 كانون,0,108.34,135.43,,0,0
5044,بروفيل ليد كرومي  ابارونcm2,0,60,75,,0,0
5045,بروفيل ليد اسود  ابارون cm2,0,60,75,,0,0
5046,Sans désignation,0,90,112.5,,0,0
5047,HYUNDAI نقل,0,50,0,,0,0
5048,sika flex pro 3,0,88,110,,0,0
5049,DELTA EUROTEX 20KG دلطا اوروطكس,0,310,387.5,,0,0
5050,حجر بروس فيي مربع 46,0,95,118.75,,0,0
5051,la piscine everlast سلعة,0,360,450,,0,0
5052,GABKA 1400W خلاط,25,422,527.5,,10550,13187.5
5053,GABKA 1700W ديكاجور,6,1350,1687.5,,8100,10125
5054,GABKA 2000W ديكاجور,7,1450,1812.5,,10150,12687.5
5055,GABKA 2600W مكينة منشار تقطيع حديد,1,1054,1317.5,,1054,1317.5
5056,GABKA 1800W مكينة منشار مائل,2,1495.32,1869.15,,2990.64,3738.3
5057,GABKA TENDEUSE A ESSENSE JARDIN (88038),2,917.32,1146.65,,1834.64,2293.3
5058,GABKA 230*2.0*22 ديسكو حديد,0,10,12.5,,0,0
5059,GABKA 2 كوشية,23,12.92,16.15,,297.16,371.45
5060,GABKA 3 كوشية,7,14.28,17.85,,99.96,124.95000000000002
5061,GABKA 4 كوشية,21,15.64,19.55,,328.44,410.55
5062,GABKA COUPE-CARRELAGE 600MM مكينة زليج,4,464,580,,1856,2320
5063,GABKA COUPE-CARRELAGE 800MM مكينة زليج,9,444.1,618.75,,3996.9,5568.75
5064,GABKA COUPE-CARRELAGE 1200MM مكينة زليج,22,670.1,986.04,,14742.2,21692.879999999997
5065,GABKA COMPRESSEUR D'AIR SILENCE 9L 600W,1,850,1062.5,,850,1062.5
5066,GABKA COMPRESSEUR D'AIR SILENCE 24L 600W,0,986,1232.5,,0,0
5067,GABKA سلم الومنيوم 4 درجات,7,465.8,650,,3260.6,4550
5068,GABKA سلم الومنيوم 5 درجات,4,516.8,646,,2067.2,2584
5069,GABKA سلم الومنيوم 6 درجات,3,605.2,756.5,,1815.6000000000001,2269.5
5070,GABKA CLE MIXTE 8MM,24,21.76,27.2,,522.24,652.8
5071,GABKA ساروت*9,23,23.8,29.75,,547.4,684.25
5072,GABKA ساروت*10,21,24.48,30.6,,514.08,642.6
5073,GABKA ساروت*11,24,25.84,32.3,,620.16,775.1999999999999
5074,GABKA ساروت*12,24,27.2,34,,652.8,816
5075,GABKA ساروت*15,24,34,42.5,,816,1020
5076,GABKA ساروت*19,24,40.8,51,,979.1999999999999,1224
5077,GABKA ENSEMBLE 12 TARAUDS ET FILIERES(48217),20,95.2,119,,1904,2380
5078,GABKA GRATTOIR 150MM (58126),21,21.08,26.35,,442.67999999999995,553.35
5079,GABKA GRATTOIR 200MM (58127),20,23.8,29.75,,476,595
5080,GABKA GRATTOIR 250MM (58128),23,25.84,32.3,,594.32,742.9
5081,GABKA GRATTOIR 300MM (58129),23,27.2,34,,625.6,782
5082,GABKA 6 FORETS PLATS A BOIS (68063),22,46.24,60,,1017.2800000000001,1320
5083,GABKA 1 EMBOUTS TOURNEVIS 65MM (68063),193,3.81,47.6,,735.33,9186.800000000001
5084,GABKA ساروت*8,24,6.8,8.5,,163.2,204
5085,GABKA CLE MIXTE 17MM,23,13.94,17.43,,320.62,400.89
5086,GABKA ROUE HYDRAULIQUE SUPERPOSE 20MM (58314),4,263.16,328.95,,1052.64,1315.8
5087,ERGO N13 (1PCS) طوكلي,0,5,6.25,,0,0
5088,ERGO N8 بكية طوكلي,0,25,31.25,,0,0
5089,ERGO N8 (1PCS) طوكلي,3,5,6.25,,15,18.75
5090,ISOLBOX TYEP 30 (3.7),0,592,740,,0,0
5091,ISOLBOX TYEP 35 (3.7),0,1332,1665,,0,0
5092,ISOLBOX TYEP 35 (3.4),0,544,680,,0,0
5093,ISOLBOX TYEP 35 (2.44),0,882,1102.5,,0,0
5094,ISOLBOX TYEP 35 (2.35),0,846,1057.5,,0,0
5095,ISOLBOX TYEP 30 (2.35),0,376,470,,0,0
5096,ISOLBOX TYEP 30 (2.5),0,400,500,,0,0
5097,ISOLBOX TYEP 35 (3.4),0,1224,1530,,0,0
5098,ISOLBOX TYEP 30 (2.8),0,448,560,,0,0
5099,fenomastic pure colours matt base a 16,0,810,1012.5,,0,0
5100,هراوة بالة عادية,135,7.5,9.38,,1012.5,1266.3000000000002
5101,ZILTASH 5m متر,59,8.5,10.63,,501.5,627.1700000000001
5102,ISOLBOX TYES 30 (1.75m),0,280,350,,0,0
5103,MORTEFIX BLANCO 25KG,0,66,82.5,25,0,0
5104,SUPER BLANCO NORMALE 25KG,120,48,60,25,5760,7200
5105,SUPER ORANGE NORMALE 25KG,402,33,42.5,25,13266,17085
5106,MORTECOL JUNTA 5KG 59,0,94,117.5,,0,0
5107,extreme بروفيل ليد كرومي,0,55,68.75,,0,0
5108,extreme بروفيل ليد اسود,0,55,68.75,,0,0
5109,بلايك جبص,0,13,16.25,,0,0
5110,ZINITE ASTRAL BLANC MAT 15KG,0,460,580.01,15,0,0
5111,2.5/370بكية بكيط سودور,0,142.5,178.13,,0,0
5112,1PCS 3.20/350 بكية بكيط سودور,44,135,168.75,,5940,7425
5113,ISOLBOX TYEP 30 (2.14),0,342.4,428,,0,0
5114,ISOLBOX TYEP 30 (1.4),0,224,280,,0,0
5115,ISOLBOX TYEP 30 (0.88),0,140.8,176,,0,0
5116,كيلو قنب 6 ممتاز,0,28,35,,0,0
5117,(100m) متر قنب 6 ممتاز,1700,0.47,10.62,,799,18054
5118,(100m) متر قنب 10 ممتاز,600,1.28,9.61,,768,5766
5119,كيلو قنب 10 ممتاز,0,28,35,,0,0
5120,(100m) 5121 متر قنب 14 ممتاز,0,2.52,6.31,,0,0
5121,(100m) متر قنب 14 ممتاز,230,2.52,35,,579.6,8050
5122,كيلو قنب 16 ممتاز,0,0,0,,0,0
5123,(100m) متر قنب 18ممتاز,400,4.28,35,,1712,14000
5124,(100m) 5123 متر قنب 18ممتاز,100,4.28,10.68,,428,1068
5125,(100m) متر قنب 22 ممتاز,100,6.26,35,,626,3500
5126,ISOLBOX TYEP 30 (2.20),0,352,440,,0,0
5127,ISOLBOX TYEP 30 (0.90),0,144,180,,0,0
5128,EURO CLIPS 100 pcs 1mm زيار,43,26,32.5,,1118,1397.5
5129,Mary كوشية لندوي 16,32,10,20,,320,640
5130,ISOLBOX TYEP 30 (1.9),0,320,380,,0,0
5131,ISOLBOX TYEP 30 (2.1),0,336,420,,0,0
5132,ROLEAU POUR EPOXY رولو,38,51.3,64.13,,1949.3999999999999,2436.9399999999996
5133,ROLEAU NOIR A ENDUIT 23CM AKRO رولو,28,81.23,101.54,,2274.44,2843.1200000000003
5134,(100m) 5125 متر قنب 22 ممتاز,0,6.26,10.96,,0,0
5135,GRAISSE F-D MAX 1KG كيلو كراسة (5026),45,29.34,36.68,,1320.3,1650.6
5136,FRATELLE BRASIVE 300X50X20mm شراط حمام,0,2400,3000,,0,0
