id,designation,quantite,prix_achat,prix_vente,kg,valeur_cost,valeur_sale
1100,شيفون 1m كارفانيزي,0,130,162.5,,0,0
1101,Fugabella Color 01,50,111.44,183.61,3,5572,9180.5
1102,Fugabella Color 02,21,96.84,201.28,3,2033.64,4226.88
1103,Fugabella Color 03,43,111.44,248.62,3,4791.92,10690.66
1104,Fugabella Color 04,29,102.88,158.59,3,2983.52,4599.11
1105,Fugabella Color 05,37,111.44,204.04,3,4123.28,7549.48
1106,Fugabella Color 06,5,113.45,196.07,3,567.25,980.3499999999999
1107,Fugabella Color 07,4,113.45,201.27,,453.8,805.08
1108,Fugabella Color 08,20,102.88,162.3,3,2057.6,3246
1109,Fugabella Color 09,19,102.88,167.21,3,1954.7199999999998,3176.9900000000002
1110,Fugabella Color 10,43,111.44,193.9,3,4791.92,8337.7
1111,Fugabella Color 11,24,113.45,169.07,3,2722.8,4057.68
1112,Fugabella Color 12,22,157.26,195.55,3,3459.72,4302.1
1113,Fugabella Color 13,26,102.88,203.89,3,2674.88,5301.139999999999
1114,Fugabella Color 14,26,123.03,152.99,3,3198.78,3977.7400000000002
1115,Fugabella Color 15,15,130.16,206.85,3,1952.3999999999999,3102.75
1116,Fugabella Color 16,0,258.87,323.59,3,0,0
1117,Fugabella Color 17,24,98.66,160,3,2367.84,3840
1118,Fugabella Color 18,24,102.26,160,3,2454.2400000000002,3840
1119,Fugabella Color 19,3,157.26,204.39,3,471.78,613.17
1120,Fugabella Color 20,24,111.44,168.9,3,2674.56,4053.6000000000004
1121,Fugabella Color 21,18,102.88,169.87,3,1851.84,3057.66
1122,Fugabella Color 22,33,111.44,160,3,3677.52,5280
1123,Fugabella Color 23,30,111.44,160,3,3343.2,4800
1124,Fugabella Color 24,36,111.44,160,3,4011.84,5760
1125,Fugabella Color 25,15,93.57,160,3,1403.55,2400
1126,Fugabella Color 26,20,102.88,160.1,3,2057.6,3202
1127,Fugabella Color 27,36,128.67,160,3,4632.12,5760
1128,Fugabella Color 28,16,98.82,160,3,1581.12,2560
1129,Fugabella Color 29,12,92.91,160,3,1114.92,1920
1130,Fugabella Color 30,29,113.4,183.9,3,3288.6000000000004,5333.1
1131,Fugabella Color 31,14,94.15,163.55,3,1318.1000000000001,2289.7000000000003
1132,Fugabella Color 32,19,92.54,160,3,1758.2600000000002,3040
1133,Fugabella Color 33,16,102.88,160,3,1646.08,2560
1134,Fugabella Color 34,49,111.44,162.79,3,5460.5599999999995,7976.71
1135,Fugabella Color 35,10,124.31,195.59,3,1243.1,1955.9
1136,Fugabella Color 36,12,124.31,195.59,3,1491.72,2347.08
1137,Fugabella Color 37,19,92.11,160,3,1750.09,3040
1138,Fugabella Color 38,19,116.54,160,3,2214.26,3040
1139,Fugabella Color 39,25,98.82,160,3,2470.5,4000
1140,Fugabella Color 40,29,94.15,162.14,3,2730.3500000000004,4702.0599999999995
